                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                   1.44,                0.89967,                0.89079,                 0.7509,                0.60059,                0.66072,                0.45723,                 1.4463,                0.87668,                0.89738,             0.00020962,             0.00020962,             0.00020962
                    133,                 1.4347,                0.90788,                0.89146,                0.74054,                0.59522,                0.66116,                0.45178,                 1.4379,                0.89224,                0.89753,             0.00020671,             0.00020671,             0.00020671
                    134,                  1.429,                0.89829,                0.89202,                  0.799,                0.59124,                0.67507,                0.46884,                 1.4251,                0.87937,                0.89821,              0.0002038,              0.0002038,              0.0002038
                    135,                 1.4253,                0.89729,                0.88913,                0.78318,                 0.5995,                0.67417,                0.46553,                 1.4346,                0.88569,                 0.8982,             0.00020089,             0.00020089,             0.00020089
                    136,                 1.4113,                0.87839,                0.88973,                0.76745,                0.59265,                0.66932,                0.46557,                 1.4094,                0.87811,                0.89394,             0.00019798,             0.00019798,             0.00019798
                    137,                 1.4216,                 0.9037,                0.88931,                0.77414,                0.59776,                0.66747,                0.46039,                 1.4402,                0.88492,                0.89809,             0.00019507,             0.00019507,             0.00019507
                    138,                 1.4158,                0.88737,                0.88729,                0.77359,                0.57848,                0.65714,                0.45763,                 1.4288,                0.88952,                0.89688,             0.00019216,             0.00019216,             0.00019216
                    139,                 1.4148,                0.88408,                0.88869,                0.77061,                0.60036,                 0.6708,                0.46065,                 1.4346,                0.87356,                  0.898,             0.00018925,             0.00018925,             0.00018925
                    140,                 1.4027,                0.88235,                0.88546,                0.76216,                 0.6018,                0.66774,                0.46082,                 1.4301,                0.87422,                0.89627,             0.00018634,             0.00018634,             0.00018634
                    141,                 1.4197,                0.89605,                0.89011,                0.79076,                0.58166,                0.66491,                0.46553,                 1.4072,                 0.8844,                0.89384,             0.00018343,             0.00018343,             0.00018343
                    142,                 1.4384,                0.90026,                0.88846,                0.76203,                0.60384,                0.67531,                0.47128,                 1.4093,                0.86307,                0.89343,             0.00018052,             0.00018052,             0.00018052
                    143,                 1.4181,                0.87689,                0.88888,                0.73656,                 0.6097,                0.67492,                0.46099,                 1.4512,                0.87686,                0.89939,             0.00017761,             0.00017761,             0.00017761
                    144,                 1.4313,                0.89286,                0.89094,                0.77122,                0.60047,                0.66886,                0.46848,                 1.4095,                0.87186,                0.89212,             0.00017469,             0.00017469,             0.00017469
                    145,                 1.4219,                0.88729,                0.89032,                0.75237,                0.59567,                0.66269,                0.45823,                 1.4248,                0.87184,                0.89632,             0.00017178,             0.00017178,             0.00017178
                    146,                 1.4142,                0.88605,                0.88717,                0.81354,                0.58055,                0.66717,                0.46222,                 1.4264,                0.87148,                0.89397,             0.00016887,             0.00016887,             0.00016887
                    147,                 1.4178,                0.88871,                 0.8846,                0.75003,                0.60523,                0.66812,                 0.4582,                 1.4215,                0.86541,                0.89342,             0.00016596,             0.00016596,             0.00016596
                    148,                 1.4257,                0.89207,                0.88474,                0.77997,                0.59319,                 0.6644,                 0.4542,                 1.4294,                0.87339,                0.89531,             0.00016305,             0.00016305,             0.00016305
